"81", "2:150:738.62", 146.48, "-", 49, " FF FF FF FF FF 74 92 38 36 37 42 30 36 30 31 31 31 4B 43 2D 35 50 41 30 30 31 30 32 32 30 2D 41 34 4B 43 2D 35 50 41 30 30 31 30 32 32 30 2D 30 35", " 0B 0A C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"82", "2:151:239.54", 2.54, "-", 2, " FF 54", " 05 00"
"83", "2:151:249.96", 2.54, "-", 2, " FF 00", " 35 00"
"84", "2:151:260.40", 2.56, "-", 2, " FF 60", " 15 00"
"85", "2:151:290.10", 709.32, "-", 261, " FF FF FF FF FF 8C C1 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 07 69 13 1B 0A E6 03 FE 00 3E FB E5 00 20 FE 28 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 00 00 00 12 98 05 B4 00 FA 14 50 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 0A 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"86", "2:152:010.38", 2.56, "-", 2, " FF 54", " 05 00"
"87", "2:152:020.80", 2.56, "-", 2, " FF 00", " 35 00"
"88", "2:152:031.26", 2.54, "-", 2, " FF 60", " 15 00"
"89", "2:152:060.94", 711.48, "-", 261, " FF FF FF FF FF 8C C1 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 07 69 13 1B 0A E6 03 FE 00 3E FB E5 00 20 FE 28 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 00 00 00 12 98 05 B4 00 FA 14 50 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 16 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"90", "2:152:970.98", 2.56, "-", 2, " FF 54", " 05 00"
"91", "2:152:981.40", 2.56, "-", 2, " FF 00", " 35 00"
"92", "2:152:991.84", 2.56, "-", 2, " FF 60", " 15 00"
"93", "2:153:021.54", 711.72, "-", 261, " FF FF FF FF FF 8C C0 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 07 69 13 1B 0A E6 03 FE 00 3E FB E5 00 20 FE 28 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 01 00 00 12 98 05 B4 00 FA 14 50 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 0A 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"94", "2:153:743.98", 2.56, "-", 2, " FF 54", " 05 00"
"95", "2:153:754.40", 2.56, "-", 2, " FF 00", " 35 00"
"96", "2:153:764.84", 2.56, "-", 2, " FF 60", " 15 00"
"97", "2:153:794.54", 708.24, "-", 261, " FF FF FF FF FF 8C C0 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 07 69 13 1B 0A E6 03 FE 00 3E FB E5 00 20 FE 28 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 01 00 00 12 98 05 B4 00 FA 14 50 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 16 C1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"98", "2:154:701.34", 2.56, "-", 2, " FF 54", " 05 00"
"99", "2:154:711.78", 2.54, "-", 2, " FF 00", " 35 00"
"100", "2:154:722.22", 2.56, "-", 2, " FF 60", " 15 00"
"101", "2:154:751.92", 708.06, "-", 261, " FF FF FF FF FF 72 63 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 09 C4 19 64 0F A0 03 FE 00 00 FD 44 00 00 FE 0C 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 02 00 00 1B 58 05 DC 00 C8 17 B3 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 0A 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"102", "2:155:470.70", 2.56, "-", 2, " FF 54", " 05 00"
"103", "2:155:481.12", 2.56, "-", 2, " FF 00", " 35 00"
"104", "2:155:491.58", 2.54, "-", 2, " FF 60", " 15 00"
"105", "2:155:521.26", 706.90, "-", 261, " FF FF FF FF FF 72 63 00 03 00 03 00 13 00 01 00 03 00 02 00 02 00 02 00 04 09 C4 19 64 0F A0 03 FE 00 00 FD 44 00 00 FE 0C 00 00 00 00 03 EE FB 6D 07 C1 FE C7 FC 64 03 0C 03 90 FB 63 07 87 FD 4D FD EF 01 E5 FC 12 FB 6D 07 C1 FE C7 03 9C FC F4 FC 70 FB 63 07 87 FD 4D 02 11 FE 1B 00 12 00 02 00 00 1B 58 05 DC 00 C8 17 B3 05 DC 03 F2 02 BC 05 46 03 F2 03 E8 FA 24 03 F2 02 BC FA BA 03 F2 03 E8 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 18 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 16 C2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"106", "2:156:426.72", 2.56, "-", 2, " FF 54", " 05 00"
"107", "2:156:441.70", 2.54, "-", 2, " FF 00", " 35 00"
"108", "2:156:452.26", 2.56, "-", 2, " FF 60", " 15 00"
