"Tektronix MDO34, version v1.4.26, serial number C017180"
"Bus Definition: SPI"
 Time, MOSI, MISO
4.699376e-04, 03 75 C0 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 12 4B FB 0D F9 7C 40 2A 57 D9 3F 20 E4 D3 CC 24 9A A2 65 AB 4F B9 DC 72 53 62 7C D7 E1 04 24 09 9C 48 B0 87 A7 44 40 66 D2 32 32 08 F0 C0 F6 BA 0F F6 9B 9C 17 67 4E 49 E1 41 A6 E6 9B BA A5 3C  
4.918376e-04, 03 75 C0 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF A8 EB 6F 5B 44 10 0E F8 13 C0 8B F1 05 A5 B8 02 20 F1 B7 A0 E1 C0 77 2D 2A 3F 01 7E 43 69 B0 C4 A1 C1 F2 C3 AB B7 06 9E 62 1E BA 5A D7 AD 35 6C FF 3A 96 B8 37 C2 FC 54 5C 40 39 0C FA D4 44 C0  
5.137384e-04, 03 75 C1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 08 34 FD D5 64 E0 9E 23 F7 47 F1 1A 7E 22 22 01 3C 84 06 58 49 03 98 02 25 01 30 19 62 DA B3 F6 6C 36 CC 94 EA 7F 5C 15 13 0C F0 A8 B4 50 5C 4A C2 A5 19 01 66 80 80 11 CC 52 00 37 DD C9 7F 40  
5.356392e-04, 03 75 C1 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF 8C 9C 07 56 66 32 8D 89 A4 3D 54 1E 64 52 B9 58 12 99 F5 9C 32 71 BC 68 FD 5C 82 A5 15 2B 08 77 2E 20 93 90 01 CC 96 83 88 13 47 04 6B 80 4D 9B 81 CD 45 C9 D9 4E 22 A6 B6 7E 21 08 4A 6E 9F C0  
5.578568e-04, 03 75 C1 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF BD AA FD CF 6B 9E 0E 0A AE FF 4C 8A 92 84 A1 A3 05 16 57 7A E5 0F EC 42 00 40 CE 47 EE 80 DA 13 49 8D 4D 89 06 72 13 95 BD 8D AE A9 5C A4 32 2F 4E 5C 94 DB 4B DC 43 87 B7 64 F7 04 95 FD A2 FF  
5.797576e-04, 03 75 C1 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF CB 21 0C 1C C5 40 D0 2E 42 14 72 EC C0 00 85 F9 DE 80 B7 6A 32 E0 65 89 32 C0 7B 26 08 B7 D1 27 75 E4 AA 9D 7F EE F6 81 99 99 DB E2 4F AD 67 43 0B 1B 56 FD 48 48 81 29 1C 1F 5A 0E 02 30 40 25  
6.016584e-04, 03 75 C2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 01 01 09 29 40 5E 23 9D 2A B6 DF 35 E1 1B 13 DD E5 17 FF C8 8B 2C 1F EC 8A 5E 4D E8 55 4C AA CE 0D AB FE 23 2B 80 20 20 A0 09 B6 1A 40 C9 88 00 88 DE 27 00 29 1A E9 E4 E7 A2 01 0A F8 26 88 CA  
6.235592e-04, 03 75 C2 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF C2 C3 C2 80 B5 20 42 2E 28 B1 0A 21 2D 4D 7C DF 19 58 FD C7 07 83 41 40 0D B0 86 EB 8F 34 00 80 01 80 2A BF 9C 42 F4 4E A5 44 55 80 12 78 DB 44 E4 AE 83 E6 DC BE 20 09 DC 59 01 28 D5 0E 5C 52  
6.454600e-04, 03 75 C2 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 79 A9 1C 79 8F 6A 2E 58 23 AB FF 48 ED F7 08 08 04 8A EA 80 4F 08 90 99 E9 A9 10 BD 0F E0 AA 2B 1D 5C 14 62 A9 36 C6 D7 62 68 A0 4D A9 BC 88 66 B6 92 4D 10 9F 69 29 B3 7E BD 25 49 00 21 8C BD  
6.673608e-04, 03 75 C2 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF 9E 26 9F 3F CD 93 84 00 0E 20 F7 87 43 1B 2F 95 29 68 26 4F 9F EB C9 91 EC 7F FE E4 DC 20 C5 F2 4F 8C F5 17 39 AF F1 B7 FC 5B 76 72 6D D2 9F 0F A4 9E 2A 19 50 DA 80 4F 61 16 F5 B5 F5 D2 44 F8  
